Code,Description,Category,Source,Notes,FilterTag,Module
P0033,Turbo Charger Bypass Valve Control Circuit,Powertrain,OBD-II Standard,,,VNT
P0034,Turbo Charger Bypass Valve Control Circuit Low,Powertrain,OBD-II Standard,,,VNT
P0035,Turbo Char ger Bypass Valve Control Circuit High,Powertrain,OBD-II Standard,,,VNT
P0039,Turbo/Super Charger Bypass Valve C ontrol Circuit,Powertrain,OBD-II Standard,,,VNT
P0045,Turbo/Super Charger Boost Control Solenoid Circuit/Open,Powertrain,OBD-II Standard,,,VNT
P0046,Turbo/Super Charger Boost Control Solenoid Circuit,Powertrain,OBD-II Standard,,,VNT
P0047,Turbo/Super Charg er Boost Control Solenoid Circuit Low,Powertrain,OBD-II Standard,,,VNT
P0048,Turbo/Super Charger Boost Control Solenoid Circuit High,Powertrain,OBD-II Standard,,,VNT
P0049,Turbo/Super Charger Turbine Overspeed,Powertrain,OBD-II Standard,,,VNT
P0068,MAP/MAF Throttle Position Correlation,Powertrain,OBD-II Standard,,,MAF
P0100,Mass or Volume Air Flow Circuit Malfunction,Powertrain,OBD-II Standard,,,MAF
P0101,Mass or Volume Air Flow Circuit Range/Performance Problem,Powertrain,OBD-II Standard,,,MAF
P0102,Mass or Volume Air Flow Circuit Low Input,Powertrain,OBD-II Standard,,,MAF
P0103,Mass or Volume Air Flow Circuit High Input,Powertrain,OBD-II Standard,,,MAF
P0104,Mass or Volume Air Flow Circuit Intermittent,Powertrain,OBD-II Standard,,,MAF
P0120,Throttle Position Sensor/Switch A Circuit Malfunction,Powertrain,OBD-II Standard,,,TVA
P0121,Throttle Position Sensor/Switch A Circuit Range/Performance,Powertrain,OBD-II Standard,,,TVA
P0122,Throttle Position Sensor/Switch A Circuit Low Input,Powertrain,OBD-II Standard,,,TVA
P0123,Throttle Position Sensor/Switch A Circuit High Input,Powertrain,OBD-II Standard,,,TVA
P0124,Throttle Position Sensor/Switch A Circuit Intermittent,Powertrain,OBD-II Standard,,,TVA
P0234,Engine Overboost Condition,Powertrain,OBD-II Standard,,,VNT
P0235,Turbocharger Boost Sensor A Circuit Malfunction,Powertrain,OBD-II Standard,,,VNT
P0236,Turbocharger Boost Sensor A Circuit Range/Performance,Powertrain,OBD-II Standard,,,VNT
P0237,Turbocharger Boost Sensor A Circuit Low,Powertrain,OBD-II Standard,,,VNT
P0238,Turbocharger Boost Sensor A Circuit High,Powertrain,OBD-II Standard,,,VNT
P0239,Turbocharger Boost Sensor B Malfunction,Powertrain,OBD-II Standard,,,VNT
P0240,Turbocharger Boost Sensor B Circuit Range/Performance,Powertrain,OBD-II Standard,,,VNT
P0241,Turbocharger Boost Sensor B Circuit Low,Powertrain,OBD-II Standard,,,VNT
P0242,Turbocharger Boost Se nsor B Circuit High,Powertrain,OBD-II Standard,,,VNT
P0243,Turbocharger Wastegate Solenoid A Malfunction,Powertrain,OBD-II Standard,,,VNT
P0244,Turbocharger Wastegate Solenoid A Range/Performance,Powertrain,OBD-II Standard,,,VNT
P0245,Turbocharger Wastegate Solenoid A Low,Powertrain,OBD-II Standard,,,VNT
P0246,Turbocharger Wastegate Solenoid A High,Powertrain,OBD-II Standard,,,VNT
P0247,Turbocharger Was tegate Solenoid B Malfunction,Powertrain,OBD-II Standard,,,VNT
P0248,Turbocharger Wastegate Solenoid B Range/Performance,Powertrain,OBD-II Standard,,,VNT
P0249,Turbocharger Wastegate Solenoid B Low,Powertrain,OBD-II Standard,,,VNT
P0250,Turbocharger Wastegate Solenoid B High,Powertrain,OBD-II Standard,,,VNT
P0299, Turbo/Super Charger Underboost,Powertrain,OBD-II Standard,,,VNT
P0382,Exhaust Gas Recirculation Flow Malfunction,Powertrain,OBD-II Standard,,,EGR
P0400,Exhaust Gas Recirculation Flow Malfunction,Powertrain,OBD-II Standard,,,EGR
P0401,Exhaust Gas Recirculation Flow Insufficient Detected,Powertrain,OBD-II Standard,,,EGR
P0402,Exhaust Gas Recirculation Flow Excessive Detected,Powertrain,OBD-II Standard,,,EGR
P0403,Exhaust Gas Recirculation Circuit Malfunction,Powertrain,OBD-II Standard,,,EGR
P0404,Exhaust Gas Recirculation Circuit Range/Performance,Powertrain,OBD-II Standard,,,EGR
P0405,Exhaust Gas Recirculation Sensor A Circuit Low,Powertrain,OBD-II Standard,,,EGR
P0406,Exhaust Gas Recirculation Sensor A Circuit High,Powertrain,OBD-II Standard,,,EGR
P0407,Exhaust Gas Recirculati on Sensor B Circuit Low,Powertrain,OBD-II Standard,,,EGR
P0408,Exhaust Gas Recirculation Sensor B Circuit High,Powertrain,OBD-II Standard,,,EGR
P0409, Exhaust Gas Recirculation Sensor A Circuit,Powertrain,OBD-II Standard,,,EGR
P0486, Exhaust Gas Recirculation Sensor B Circuit,Powertrain,OBD-II Standard,,,EGR
P0487, Exhaust Gas Recirculation Throttle Position Control Circuit,Powertrain,OBD-II Standard,,,EGR
P0488, Exhaust Gas Recirculation Throttle Position Control Range/Performance,Powertrain,OBD-II Standard,,,EGR
P0489, Exhaust Gas Recirculation Control Circuit Low,Powertrain,OBD-II Standard,,,EGR
P0490, Exhaust Gas Recirculation Control Circuit High,Powertrain,OBD-II Standard,,,EGR
P0510,Closed Throttle Position Switch Malfunction,Powertrain,OBD-II Standard,,,TVA
P0555, Brake Booster Pressure Sensor Circuit,Powertrain,OBD-II Standard,,,VNT
P0556, Brake Booster Pressure Sensor Circuit Range/Performance,Powertrain,OBD-II Standard,,,VNT
P0557, Brake Booster Pressure Sensor Circuit Low Input,Powertrain,OBD-II Standard,,,VNT
P0558, Brake Booster Pressure Sensor Circuit High Input,Powertrain,OBD-II Standard,,,VNT
P0559, Brake Booster Pressure Sensor Circuit Intermittent,Powertrain,OBD-II Standard,,,VNT
P0638, Throttle Actuator Contro l Range/Performance,Powertrain,OBD-II Standard,,,TVA
P0639, Throttle Actuator Control Range/Performance,Powertrain,OBD-II Standard,,,TVA
P1100,MAF Sensor Intermittent/ Check of all OBDII Systems Not,Powertrain,OBD-II Standard,,,MAF
P1101,MAF Sensor Out Of Self Test Range./KOER Not Able To,Powertrain,OBD-II Standard,,,MAF
P1102,MAF Sensor In Range But Lower Than Expected,Powertrain,OBD-II Standard,,,MAF
P1103,MAF Sensor In Range But Higher Than Expected,Powertrain,OBD-II Standard,,,MAF
P1104,MAF Ground Malfunction,Powertrain,OBD-II Standard,,,MAF
P1120,Throttle position sensor out of range,Powertrain,OBD-II Standard,,,TVA
