Code,Description,Category,Source
B1200,Climate Control Pushbutton Circuit Failure,Body,OBD-II Standard
B1201,Fuel Sender Circuit Failure,Body,OBD-II Standard
B1202,Fuel Sender Circuit Open,Body,OBD-II Standard
B1203,Fuel Sender Cir cuit Short To Battery,Body,OBD-II Standard
B1204,Fuel Sender Circuit Short To Ground,Body,OBD-II Standard
B1205,EIC Switch -1 Assembly Circuit Failure,Body,OBD-II Standard
B1206,EIC Switch -1 Assembly Circuit Open,Body,OBD-II Standard
B1207,EIC Switch -1 Assembly Circuit Short To Battery,Body,OBD-II Standard
B1208,EIC Switch -1 Assembly Circuit Sho rt To Ground,Body,OBD-II Standard
B1209,EIC Switch -2 Assembly Circuit Failure,Body,OBD-II Standard
B1210,EIC Switch -2 Assembly Circuit Open,Body,OBD-II Standard
B1211,EIC Switch -2 Assembly Circuit Short To Battery,Body,OBD-II Standard
B1212,EIC Switch -2 Assembly Circuit Short To Ground,Body,OBD-II Standard
B1213,Anti-Theft Number of Programmed Keys Is Below Minimum,Body,OBD-II Standard
B1214,Running Board Lamp Circuit Failure,Body,OBD-II Standard
B1215,Running Board Lamp Circuit Short to Battery,Body,OBD-II Standard
B1216,Emergency and Road Side Assistance Switch Circuit Short to,Body,OBD-II Standard
B1217,Horn Relay Coil Circuit Failure,Body,OBD-II Standard
B1218,Horn Relay C oil Circuit Short to Vbatt,Body,OBD-II Standard
B1219,Fuel Tank Pressure Sensor Circuit Failure,Body,OBD-II Standard
B1220,Fuel Tank Pressure Sensor Circuit Open,Body,OBD-II Standard
B1222,Fuel Temperature Sensor #1 Circuit Failure,Body,OBD-II Standard
B1223,Fuel Temperature Sensor #1 Circuit Open,Body,OBD-II Standard
B1224,Fuel Temperature Sen sor #1 Circuit Short to Battery,Body,OBD-II Standard
B1225,Fuel Temperature Sensor #1 Circuit Short to Ground,Body,OBD-II Standard
B1226,Fuel Temperature Sensor #2 Circuit Failure,Body,OBD-II Standard
B1227,Fuel Temperature Sensor #2 Circuit Open,Body,OBD-II Standard
B1228,Fuel Temperature Sensor #2 Circuit Short to Battery,Body,OBD-II Standard
B1229,Fuel Temperature Sensor #2 Circuit Short to Ground,Body,OBD-II Standard
B1231,Longitudinal Acceleration Threshold Exceeded,Body,OBD-II Standard
B1232,See Manufacturer,Body,OBD-II Standard
B1233,Glass Break Sensor Failure,Body,OBD-II Standard
B1234,Mirror Switch Invalid Code,Body,OBD-II Standard
B1235,Window Feedback Failure,Body,OBD-II Standard
B1236,Window Feedback Loss of Signal,Body,OBD-II Standard
B1237,Window Feedback Out of Range,Body,OBD-II Standard
B1238,Over Temperature Fault,Body,OBD-II Standard
B1239,Air Flow Blend Door Driver Circuit Failure,Body,OBD-II Standard
B1240,Wiper Washer Rear Pump Relay Circuit Failure,Body,OBD-II Standard
B1241,Wiper Washer Rear Pump Relay Circuit Short t o Battery,Body,OBD-II Standard
B1242,Air Flow Recirculation Door Driver Circuit Failure,Body,OBD-II Standard
B1243,Express Window Down Switch Circuit Short to Battery,Body,OBD-II Standard
B1244,Wiper Rear Motor Run Relay Circuit Failure,Body,OBD-II Standard
