Code,Description,Category,Source,Notes
P0001,Regulador de volumen de combustible - Circuito abierto,Powertrain,OBD-II Standard,Verificar cableado del regulador
P0002,Regulador de volumen de combustible - Rango/rendimiento,Powertrain,OBD-II Standard,
P0003,Regulador de volumen de combustible - Circuito bajo,Powertrain,OBD-II Standard,
P0004,Regulador de volumen de combustible - Circuito alto,Powertrain,OBD-II Standard,
P0005,Válvula de corte de combustible - Circuito abierto,Powertrain,OBD-II Standard,
P0010,Actuador de posición del árbol de levas A Banco 1 - Circuito,Powertrain,OBD-II Standard,Sistema VVT-i/VANOS
P0011,Actuador de posición del árbol de levas A Banco 1 - Avance excesivo,Powertrain,OBD-II Standard,Verificar válvula VVT
P0012,Actuador de posición del árbol de levas A Banco 1 - Retraso excesivo,Powertrain,OBD-II Standard,
P0013,Actuador de posición del árbol de levas B Banco 1 - Circuito,Powertrain,OBD-II Standard,
P0014,Actuador de posición del árbol de levas B Banco 1 - Avance excesivo,Powertrain,OBD-II Standard,
P0015,Actuador de posición del árbol de levas B Banco 1 - Retraso excesivo,Powertrain,OBD-II Standard,
P0016,Posición del cigüeñal/árbol de levas - Correlación Banco 1 Sensor A,Powertrain,OBD-II Standard,Verificar sincronización
P0017,Posición del cigüeñal/árbol de levas - Correlación Banco 1 Sensor B,Powertrain,OBD-II Standard,
P0018,Posición del cigüeñal/árbol de levas - Correlación Banco 2 Sensor A,Powertrain,OBD-II Standard,
P0019,Posición del cigüeñal/árbol de levas - Correlación Banco 2 Sensor B,Powertrain,OBD-II Standard,
P0020,Actuador de posición del árbol de levas A Banco 2 - Circuito,Powertrain,OBD-II Standard,
P0030,Calentador de sonda lambda O2 Banco 1 Sensor 1 - Circuito,Powertrain,OBD-II Standard,Verificar fusible y relé
P0031,Calentador de sonda lambda O2 Banco 1 Sensor 1 - Circuito bajo,Powertrain,OBD-II Standard,
P0032,Calentador de sonda lambda O2 Banco 1 Sensor 1 - Circuito alto,Powertrain,OBD-II Standard,
P0033,Válvula de derivación del turbo/sobrealimentador - Circuito,Powertrain,OBD-II Standard,
P0034,Válvula de derivación del turbo/sobrealimentador - Circuito bajo,Powertrain,OBD-II Standard,
P0035,Válvula de derivación del turbo/sobrealimentador - Circuito alto,Powertrain,OBD-II Standard,
P0036,Calentador de sonda lambda O2 Banco 1 Sensor 2 - Circuito,Powertrain,OBD-II Standard,
P0037,Calentador de sonda lambda O2 Banco 1 Sensor 2 - Circuito bajo,Powertrain,OBD-II Standard,
P0038,Calentador de sonda lambda O2 Banco 1 Sensor 2 - Circuito alto,Powertrain,OBD-II Standard,
P0040,Señales de sonda lambda O2 intercambiadas Banco 1 Sensor 1 / Banco 2 Sensor 1,Powertrain,OBD-II Standard,
P0050,Calentador de sonda lambda O2 Banco 2 Sensor 1 - Circuito,Powertrain,OBD-II Standard,
P0100,Circuito del sensor de flujo de aire masivo (MAF),Powertrain,OBD-II Standard,Limpiar o reemplazar MAF
P0101,Sensor MAF - Rango/rendimiento del circuito,Powertrain,OBD-II Standard,MAF sucio o defectuoso
P0102,Sensor MAF - Entrada de circuito baja,Powertrain,OBD-II Standard,
P0103,Sensor MAF - Entrada de circuito alta,Powertrain,OBD-II Standard,
P0104,Sensor MAF - Circuito intermitente,Powertrain,OBD-II Standard,Verificar conectores
P0105,Presión absoluta del colector (MAP) - Mal funcionamiento del circuito,Powertrain,OBD-II Standard,
P0106,Sensor MAP - Rango/rendimiento del circuito,Powertrain,OBD-II Standard,
P0107,Sensor MAP - Entrada de circuito baja,Powertrain,OBD-II Standard,
P0108,Sensor MAP - Entrada de circuito alta,Powertrain,OBD-II Standard,
P0110,Sensor de temperatura del aire de admisión - Mal funcionamiento,Powertrain,OBD-II Standard,
